rawmsg,mintime,maxtime,msgcount,icao24,nicsuppla,hcr,nic,survstatus,nicsupplb,odd,baroalt,lat,lon,alt,nicsupplc,groundspeed,gsresolution,heading,timeflag,surface,hour
8da84a7b589b86a45a9e2051451e,1618945307.809,1618945307.809,1,a84a7b,false,185.2,9,0,false,true,true,34.53864146087129,-110.1837158203125,9144,false,,,,false,false,1618945200
8da84a7b589b8306900157237d8b,1618945308.411,1618945308.411,1,a84a7b,false,185.2,9,0,false,false,true,34.5384521484375,-110.1848555584343,9144,false,,,,false,false,1618945200
8da84a7b589b830686013fd0f2a1,1618945308.916,1618945308.916,1,a84a7b,false,185.2,9,0,false,false,true,34.53822326660156,-110.1862008231027,9144,false,,,,false,false,1618945200
8da84a7b589b83067a01288ef597,1618945309.557,1618945309.557,1,a84a7b,false,185.2,9,0,false,false,true,34.53794860839844,-110.1874900350765,9144,false,,,,false,false,1618945200
8da84a7b589b8306700110faae19,1618945310.153,1618945310.153,1,a84a7b,false,185.2,9,0,false,false,true,34.5377197265625,-110.1888352997449,9144,false,,,,false,false,1618945200
8da84a7b589b86a42a9db3a99dff,1618945310.675,1618945310.675,1,a84a7b,false,185.2,9,0,false,true,true,34.53752420716366,-110.1899528503418,9144,false,,,,false,false,1618945200
8da84a7b589b83065000c8b5caa4,1618945311.888,1618945311.888,1,a84a7b,false,185.2,9,0,false,false,true,34.5369873046875,-110.19287109375,9144,false,,,,false,false,1618945200
8da84a7b589b86a40a9d6c1724e6,1618945312.449,1618945312.449,1,a84a7b,false,185.2,9,0,false,true,true,34.53677937135858,-110.1940155029297,9144,false,,,,false,false,1618945200
8da84a7b589b83063e00a03a27ed,1618945312.94,1618945312.94,1,a84a7b,false,185.2,9,0,false,false,true,34.53657531738281,-110.1951132015306,9144,false,,,,false,false,1618945200
8da84a7b589b86a3e09d0e9602c8,1618945314.819,1618945314.819,1,a84a7b,false,185.2,9,0,false,true,true,34.53580177436441,-110.1993942260742,9144,false,,,,false,false,1618945200
8da84a7b589b83060a002892387c,1618945315.913,1618945315.913,1,a84a7b,false,185.2,9,0,false,false,true,34.53538513183594,-110.2018395248724,9144,false,,,,false,false,1618945200
8da84a7b589b86a3b49ca8fe0153,1618945317.463,1618945317.463,1,a84a7b,false,185.2,9,0,false,true,true,34.53477762513241,-110.2052307128906,9144,false,,,,false,false,1618945200
8da84a7b589b8305e7ffd89b7465,1618945317.94,1618945317.94,1,a84a7b,false,185.2,9,0,false,false,true,34.53456115722656,-110.2063237404337,9144,false,,,,false,false,1618945200
8da84a7b589b8305e1ffc8b76d3b,1618945318.494,1618945318.494,1,a84a7b,false,185.2,9,0,false,false,true,34.534423828125,-110.2072205835459,9144,false,,,,false,false,1618945200
8da84a7b589b86a39c9c712e3e6f,1618945318.739,1618945318.739,1,a84a7b,false,185.2,9,0,false,true,true,34.5342189982786,-110.2083778381348,9144,false,,,,false,false,1618945200
8da84a7b589b8305c7ff90ddfb40,1618945319.699,1618945319.699,1,a84a7b,false,185.2,9,0,false,false,true,34.53382873535156,-110.2103595344388,9144,false,,,,false,false,1618945200
